,trnL_id,trnl_common_name,scientific_name
142,326921,zaozhu,Phyllostachys praecox
143,269721,wax tree,Toxicodendron succedaneum
144,91248,eastern daisy fleabane,Erigeron annuus
145,171973,pitayo dulce,Stenocereus thurberi
146,4170,witchweed,Striga asiatica
147,33129,tepary bean,Phaseolus acutifolius
148,248520,Texas kidneywood,Eysenhardtia texana
149,139928,bitternut,Carya cordiformis
150,91227,mockernut hickory,Carya tomentosa
151,1370061,black hickory,Carya texana
152,13403,pignut hickory,Carya glabra
153,1370055,scrub hickory,Carya floridana
154,15957,timothy grass,Phleum pratense
155,15304,foxtail,Alopecurus pratensis
156,15371,smooth brome grass,Bromus inermis
157,46901,water-pepper,Persicaria hydropiper
158,499986,northern wattle,Acacia crassicarpa
159,49577,crepe-ginger,Hellenia speciosa
160,41522,blue bottle,Centaurea cyanus
161,39526,cast-iron plant,Aspidistra elatior
162,75943,prickly lettuce,Lactuca serriola
163,43195,blue lettuce,Lactuca perennis
164,527214,Canada wild lettuce,Lactuca canadensis
165,29711,daylily,Hemerocallis hybrid cultivar
166,139930,yue nan shan he tao,Carya tonkinensis
167,139929,nutmeg hickory,Carya myristiciformis
168,4530,Asian cultivated rice,Oryza sativa
169,100577,liang liao rong,Ficus tinctoria
170,171938,kweni,Mangifera odorata
171,97729,Chinese-keys,Boesenbergia rotunda
172,130414,Javanese long pepper,Piper retrofractum
173,157794,shiribukagashi,Lithocarpus glaber
174,129217,rock cherry,Prunus mahaleb
175,140311,sour cherry,Prunus cerasus
176,66392,tang-gui mulberry,Morus australis
177,203270,hollyleaf barberry,Berberis aquifolium
178,167587,Asiatic bitter yam,Dioscorea hispida
179,455430,cotton-rose,Hibiscus mutabilis
180,101596,garden dahlia,Dahlia pinnata
181,39324,hyssop,Hyssopus officinalis
182,49988,winter savory,Satureja montana
183,39338,common balm,Melissa officinalis
184,128002,tansy,Tanacetum vulgare
185,41496,pot marigold,Calendula officinalis
186,72341,tarragon,Artemisia dracunculus
187,127999,feverfew,Tanacetum parthenium
188,194200,black horehound,Ballota nigra
189,4265,wild artichoke,Cynara cardunculus
190,43364,common horse chestnut,Aesculus hippocastanum
191,99035,field marigold,Calendula arvensis
192,4020,nasturtium,Tropaeolum majus
193,40962,alexanders,Smyrnium olusatrum
194,3625,zhong hua mi hou tao,Actinidia chinensis
195,543981,Jerusalem sage,Phlomis fruticosa
196,74649,China rose,Rosa chinensis
197,124761,matweed,Amaranthus blitoides
198,124760,tumbleweed amaranth,Amaranthus albus
199,59166,European cornsalad,Valerianella locusta
200,237575,dancy tangerine,Citrus tangerina
201,481549,King of Siam,Citrus nobilis
202,171249,surkh nimboo,Citrus limonia
203,64884,rough lemon,Citrus jambhiri
204,341931,Indian wild orange,Citrus indica
205,341934,dooja,Citrus australis
206,46963,blue cohosh,Caulophyllum thalictroides
207,123405,qat,Catha edulis
208,53923,mocote,Senna alata
209,66172,green ephedra,Ephedra viridis
210,39583,Mexican-tea,Ephedra trifurca
211,191311,clap-weed,Ephedra pedunculata
212,191310,gray ephedra,Ephedra nevadensis
213,3389,sea-grape,Ephedra distachya
214,173275,pinku pinku,Ephedra americana
215,214697,dessert banana,Musa acuminata
216,71631,southern pine,Pinus echinata
217,35122,giant kelp,Macrocystis pyrifera
218,254029,thyme-leaf sandwort,Arenaria serpyllifolia
219,743734,devil's darning needle,Clematis virginiana
220,231651,si gua hua,Clematis lasiandra
221,231652,pipestem,Clematis lasiantha
222,748696,blue jasmine,Clematis crispa
223,49227,southern adder's-tongue,Ophioglossum vulgatum
224,53852,golden-rain,Cassia fistula
225,185238,large periwinkle,Vinca major
226,3674,spiny bitter cucumber,Momordica cochinchinensis
227,49879,giant wild-pine,Tillandsia utriculata
228,49541,Spanish-moss,Tillandsia usneoides
229,46348,hedgehog licorice,Glycyrrhiza echinata
230,119261,Batavia cinnamon,Cinnamomum burmanni
231,66669,American linden,Tilia americana
232,121718,silver linden,Tilia tomentosa
233,720871,pu di bai,Juniperus procumbens
234,29722,tampala,Amaranthus tricolor
235,333555,maruba-ke-sumire,Viola collina
236,46032,wall speedwell,Veronica arvensis
237,290852,heart-leaf philodendron,Philodendron hederaceum
238,3501,great nettle,Urtica dioica
239,233204,European white elm,Ulmus laevis
240,3485,Japanese hop,Humulus japonicus
241,167892,gooseneck loosestrife,Lysimachia clethroides
242,3617,common buckwheat,Fagopyrum esculentum
243,192626,big sandbur,Cenchrus myosuroides
244,200544,tachibana orange,Citrus tachibana
245,349445,manghsan mandarin,Citrus mangshanensis
246,1008983,kabuchi,Citrus keraji
247,135197,kuzu,Citrus junos
248,167922,bleeding-heart vine,Clerodendrum thomsoniae
249,216992,yue hua,Betula ermanii
250,140657,Manchurian cherry,Prunus maackii
251,438425,Asian marshweed,Limnophila sessiliflora
252,32189,lily-of-the-valley,Convallaria majalis
253,241838,hai qi,Excoecaria agallocha
254,4690,trumpet lily,Lilium longiflorum
255,202991,o-benkei-so,Phedimus spurius
256,308686,Sargent spruce,Picea brachytyla
257,156149,Florida torreya,Torreya taxifolia
258,174168,western pasqueflower,Anemone occidentalis
259,74823,Icelandic poppy,Papaver nudicaule
260,61236,Kamchatka-lily,Fritillaria camschatcensis
261,121082,sea hearse,Hernandia nymphaeifolia
262,201017,langsat,Lansium domesticum
263,349509,ho-no-ki,Magnolia obovata
