,USDA_id,usda_common_name,scientific_name
11487,CROPT,scratchdaisy,Croptilon Raf.
11488,CROR4,hawthorn,Crataegus orbicularis
11489,CROS,Osterhout's cryptantha,Cryptantha osterhoutii
11490,CROSS,crossopetalum,Crossopetalum P.
11491,CROSS2,rockflower,Crossosoma Nutt.
11492,CROSS4,crossidium moss,Crossidium Jur.
11493,CROSS5,crossandra,Crossandra Salisb.
11494,CROTA,rattlebox,Crotalaria L.
11495,CROTO,croton,Croton L.
11496,CROV,yerba,Croton ovalifolius
11497,CROV2,ovateleaf hawthorn,Crataegus ovata
11498,CROV3,jade plant,Crassula ovata
11499,CROX,sharpnut cryptantha,Cryptantha oxygona
11500,CRPA,Palau crepidium,Crepidium palawense
11501,CRPA10,smooth rattlebox,Crotalaria pallida
11502,CRPA20,pasture hawksbeard,Crepis pannonica
11503,CRPA21,Palmer's cryptantha,Cryptantha palmeri
11504,CRPA22,rattlebox,Crotalaria paulina
11505,CRPA24,hawthorn,Crataegus paludosa
11506,CRPA3,Florida hawthorn,Crataegus panda
11507,CRPA5,Parks' croton,Croton parksii
11508,CRPA6,handsome cryptantha,Cryptantha paradoxa
11509,CRPA8,Payson's cryptantha,Cryptantha paysonii
11510,CRPA9,croomia,Croomia pauciflora
11512,CRPE,scarlet hawthorn,Crataegus pedicellata
11513,CRPE10,piedmont bedstraw,Cruciata pedemontana
11514,CRPE13,Pearson's hawthorn,Crataegus pearsonii
11515,CRPE14,hawthorn,Crataegus ×peckietta
11516,CRPE15,cryptothele lichen,Cryptothele permiscens
11517,CRPE17,Connecticut hawthorn,Crataegus pequotorum
11518,CRPE2,Great Smoky Mountain hawthorn,Crataegus penita
11519,CRPE3,Pennsylvania hawthorn,Crataegus pennsylvanica
11520,CRPE6,plumleaf hawthorn,Crataegus persimilis
11521,CRPE7,pearthorn,Crataegus perjucunda
11522,CRPH,Washington hawthorn,Crataegus phaenopyrum
11523,CRPH2,Phipps' hawthorn,Crataegus phippsii
11524,CRPI,hawthorn,Crataegus ×pilosa
11525,CRPI2,Chinese haw,Crataegus pinnatifida
11526,CRPI3,pineland hawthorn,Crataegus pinetorum
11528,CRPL,nakedstem hawksbeard,Crepis pleurocarpa
11529,CRPL5,blue gem,Craterostigma plantagineum
11530,CRPO,elegant hawthorn,Crataegus poliophylla
11531,CRPO11,Pittsburgh hawthorn,Crataegus porrecta
11532,CRPO4,sabinon,Croton poecilanthus
11533,CRPO5,leatherweed,Croton pottsii
11534,CRPO6,higuero de sierra,Crescentia portoricensis
11535,CRPO7,Puerto Rico thoroughwort,Critonia portoricensis
11538,CRPR,Pringle's hawthorn,Crataegus pringlei
11539,CRPR2,waxyfruit hawthorn,Crataegus pruinosa
11540,CRPR3,Malheur cryptantha,Cryptantha propria
11541,CRPR4,prairie hawthorn,Crataegus pratensis
11542,CRPR5,Illinois hawthorn,Crataegus prona
11543,CRPT,wingnut cryptantha,Cryptantha pterocarya
11547,CRPU,dotted hawthorn,Crataegus punctata
11548,CRPU14,Scranton hawthorn,Crataegus putata
11549,CRPU3,smallflower hawksbeard,Crepis pulchra
11550,CRPU4,low rattlebox,Crotalaria pumila
11551,CRPU5,Pursh's rattlebox,Crotalaria purshii
11552,CRPU6,gulf croton,Croton punctatus
11553,CRPU7,low cryptantha,Cryptantha pusilla
11554,CRPU8,hawthorn,Crataegus ×puberis
11555,CRPU9,beautiful hawthorn,Crataegus pulcherrima
11556,CRPY3,crocynia lichen,Crocynia pyxinoides
11557,CRRA2,bushy cryptantha,Cryptantha racemosa
11558,CRRA3,Rattan's cryptantha,Cryptantha rattanii
11559,CRRA6,jeweled hawthorn,Crataegus ravida
11560,CRRA7,Ravenel's cryphaea moss,Cryphaea ravenelii
11561,CRRE11,gulf hawthorn,Crataegus resima
11562,CRRE12,sacred garlic pear,Crateva religiosa
11563,CRRE3,Reverchon's hawthorn,Crataegus reverchonii
11564,CRRE4,rattleweed,Crotalaria retusa
11565,CRRE5,curvenut cryptantha,Cryptantha recurvata
11566,CRRH,maidenberry,Crossopetalum rhacoma
11567,CRRH2,Franklin's hawthorn,Crataegus rhodella
11568,CRRI,river hawthorn,Crataegus rivularis
11569,CRRI3,stiffleaf scratchdaisy,Croptilon rigidifolium
11570,CRRI4,Puerto Rico helmet orchid,Cranichis ricartii
11571,CRRI5,Gadsden hawthorn,Crataegus rigens
11572,CRRI8,croton,Croton ripensis
11573,CRRO13,Rose crossidium moss,Crossidium rosei
11574,CRRO3,bristlecone cryptantha,Cryptantha roosiorum
11575,CRRO5,rabbitbells,Crotalaria rotundifolia
11576,CRRO6,Rollins' cryptantha,Cryptantha rollinsii
11577,CRRU10,hawthorn,Crataegus ×rubrocarnea
11578,CRRU12,red cryptocarya,Cryptocarya rubra
11579,CRRU3,fiddleleaf hawksbeard,Crepis runcinata
11580,CRRU4,wrinkled cryptantha,Cryptantha rugulosa
11581,CRRU5,rusty hawthorn,Crataegus rufula
11582,CRRU9,red hawksbeard,Crepis rubra
11590,CRSA2,willow hawthorn,Crataegus saligna
11591,CRSA3,Sargent's hawthorn,Crataegus sargentii
11592,CRSA4,arrowhead rattlebox,Crotalaria sagittalis
11593,CRSA5,Trans-Pecos croton,Croton sancti-lazari
11594,CRSA6,Salmon River cryptantha,Cryptantha salmonensis
11595,CRSA7,wrinkleseed pygmyweed,Crassula saginoides
11596,CRSA8,African rattlebox,Crotalaria saltiana
11597,CRSC,swamp pricklegrass,Crypsis schoenoides
11598,CRSC2,Pinyon Desert cryptantha,Cryptantha scoparia
11599,CRSC4,Schuette's hawthorn,Crataegus schuettei
11600,CRSC80,rough hawthorn,Crataegus scabrida
11601,CRSE10,crossidium moss,Crossidium seriatum
11602,CRSE11,dove weed,Croton setigerus
11603,CRSE14,hairstalk crepidium,Crepidium setipes
11604,CRSE2,bristly hawksbeard,Crepis setosa
11605,CRSE3,silky cryptantha,Cryptantha sericea
11606,CRSE4,smooth cryptantha,Cryptantha semiglabra
11607,CRSE5,bristly cryptantha,Cryptantha setosissima
11608,CRSH3,Shafer's hawthorn,Crataegus shaferi
11609,CRSH6,Shacklette's cryptantha,Cryptantha shackletteana
11610,CRSI2,pinewoods cryptantha,Cryptantha simulans
11611,CRSI3,hawthorn,Crataegus ×simulata
11612,CRSI4,desert cryptantha,Cryptantha similis
11613,CRSI5,Siberian pygmyweed,Crassula sieberiana
11614,CRSI6,Sieber's crocus,Crocus sieberi
11615,CRSI7,Sitka rockbrake,Cryptogramma sitchensis
11616,CRSO,Sonoran croton,Croton sonorae
11617,CRSO2,Soliman's croton,Croton soliman
11618,CRSO3,Waterton Lakes cryptantha,Cryptantha sobolifera
11619,CRSO5,Smooth-Seed Pygmyweed,Crassula solieri
11620,CRSP,littlehip hawthorn,Crataegus spathulata
11621,CRSP10,crateva,Crateva speciosa
11622,CRSP2,showy rattlebox,Crotalaria spectabilis
11623,CRSP3,slender cryptantha,Cryptantha sparsiflora
11624,CRSP4,Snake River cryptantha,Cryptantha spiculifera
11625,CRSP5,New London hawthorn,Crataegus spatiosa
11626,CRSP6,Essex hawthorn,Crataegus spissa
11627,CRSQ,crossidium moss,Crossidium squamiferum
11630,CRST,duke hawthorn,Crataegus stenosepala
11631,CRST2,fragile rockbrake,Cryptogramma stelleri
11632,CRST4,cascabelillo alado,Crotalaria stipularia
11633,CRST5,Yampa River cryptantha,Cryptantha stricta
11634,CRST6,West Indian croton,Croton stenophyllus
11635,CRSU15,Wallowa cryptantha,Cryptantha subcapitata
11636,CRSU16,Suksdorf's hawthorn,Crataegus suksdorfii
11637,CRSU2,Quebec hawthorn,Crataegus submollis
11638,CRSU3,Caughuawaga hawthorn,Crataegus suborbiculata
11639,CRSU5,fleshy hawthorn,Crataegus succulenta
